State,value,Code
Alabama,33,AL
Alaska,22,AK
Arizona,808,AZ
Arkansas,44,AR
California,1126,CA
Colorado,346,CO
Connecticut,126,CT
Delaware,15,DE
District of Columbia,1,DC
Florida,479,FL
Georgia,626,GA
Hawaii,0,HI
Idaho,295,ID
Illinois,574,IL
Indiana,402,IN
Iowa,447,IA
Kansas,288,KS
Kentucky,729,KY
Louisiana,28,LA
Maine,61,ME
Maryland,331,MD
Massachusetts,354,MA
Michigan,566,MI
Minnesota,634,MN
Mississippi,2,MS
Missouri,365,MO
Montana,85,MT
Nebraska,320,NE
Nevada,167,NV
New Hampshire,125,NH
New Jersey,128,NJ
New Mexico,53,NM
New York,1134,NY
North Carolina,806,NC
North Dakota,156,ND
Ohio,1218,OH
Oklahoma,80,OK
Oregon,371,OR
Pennsylvania,726,PA
Rhode Island,63,RI
South Carolina,104,SC
South Dakota,188,SD
Tennessee,306,TN
Texas,1366,TX
Utah,262,UT
Vermont,121,VT
Virginia,330,VA
Washington,1082,WA
West Virginia,1,WV
Wisconsin,320,WI
Wyoming,0,WY